# id;timestamp;commentText;codeText;commentWords;codeWords
JndiRmiServiceExporter -> public void setJndiName(String jndiName);1328020251;Set the JNDI name of the exported RMI service.;public void setJndiName(String jndiName) {_		this.jndiName = jndiName__	};set,the,jndi,name,of,the,exported,rmi,service;public,void,set,jndi,name,string,jndi,name,this,jndi,name,jndi,name
JndiRmiServiceExporter -> public void setJndiName(String jndiName);1356735495;Set the JNDI name of the exported RMI service.;public void setJndiName(String jndiName) {_		this.jndiName = jndiName__	};set,the,jndi,name,of,the,exported,rmi,service;public,void,set,jndi,name,string,jndi,name,this,jndi,name,jndi,name
JndiRmiServiceExporter -> public void setJndiName(String jndiName);1357119239;Set the JNDI name of the exported RMI service.;public void setJndiName(String jndiName) {_		this.jndiName = jndiName__	};set,the,jndi,name,of,the,exported,rmi,service;public,void,set,jndi,name,string,jndi,name,this,jndi,name,jndi,name
JndiRmiServiceExporter -> public void setJndiName(String jndiName);1368482696;Set the JNDI name of the exported RMI service.;public void setJndiName(String jndiName) {_		this.jndiName = jndiName__	};set,the,jndi,name,of,the,exported,rmi,service;public,void,set,jndi,name,string,jndi,name,this,jndi,name,jndi,name
JndiRmiServiceExporter -> public void setJndiName(String jndiName);1413848647;Set the JNDI name of the exported RMI service.;public void setJndiName(String jndiName) {_		this.jndiName = jndiName__	};set,the,jndi,name,of,the,exported,rmi,service;public,void,set,jndi,name,string,jndi,name,this,jndi,name,jndi,name
JndiRmiServiceExporter -> public void setJndiName(String jndiName);1469481969;Set the JNDI name of the exported RMI service.;public void setJndiName(String jndiName) {_		this.jndiName = jndiName__	};set,the,jndi,name,of,the,exported,rmi,service;public,void,set,jndi,name,string,jndi,name,this,jndi,name,jndi,name
JndiRmiServiceExporter -> public void setJndiName(String jndiName);1522415978;Set the JNDI name of the exported RMI service.;public void setJndiName(String jndiName) {_		this.jndiName = jndiName__	};set,the,jndi,name,of,the,exported,rmi,service;public,void,set,jndi,name,string,jndi,name,this,jndi,name,jndi,name
JndiRmiServiceExporter -> public void setJndiName(String jndiName);1532091916;Set the JNDI name of the exported RMI service.;public void setJndiName(String jndiName) {_		this.jndiName = jndiName__	};set,the,jndi,name,of,the,exported,rmi,service;public,void,set,jndi,name,string,jndi,name,this,jndi,name,jndi,name
JndiRmiServiceExporter -> public void setJndiEnvironment(Properties jndiEnvironment);1328020251;Set the JNDI environment to use for JNDI lookups._Creates a JndiTemplate with the given environment settings._@see #setJndiTemplate;public void setJndiEnvironment(Properties jndiEnvironment) {_		this.jndiTemplate = new JndiTemplate(jndiEnvironment)__	};set,the,jndi,environment,to,use,for,jndi,lookups,creates,a,jndi,template,with,the,given,environment,settings,see,set,jndi,template;public,void,set,jndi,environment,properties,jndi,environment,this,jndi,template,new,jndi,template,jndi,environment
JndiRmiServiceExporter -> public void setJndiEnvironment(Properties jndiEnvironment);1356735495;Set the JNDI environment to use for JNDI lookups._Creates a JndiTemplate with the given environment settings._@see #setJndiTemplate;public void setJndiEnvironment(Properties jndiEnvironment) {_		this.jndiTemplate = new JndiTemplate(jndiEnvironment)__	};set,the,jndi,environment,to,use,for,jndi,lookups,creates,a,jndi,template,with,the,given,environment,settings,see,set,jndi,template;public,void,set,jndi,environment,properties,jndi,environment,this,jndi,template,new,jndi,template,jndi,environment
JndiRmiServiceExporter -> public void setJndiEnvironment(Properties jndiEnvironment);1357119239;Set the JNDI environment to use for JNDI lookups._Creates a JndiTemplate with the given environment settings._@see #setJndiTemplate;public void setJndiEnvironment(Properties jndiEnvironment) {_		this.jndiTemplate = new JndiTemplate(jndiEnvironment)__	};set,the,jndi,environment,to,use,for,jndi,lookups,creates,a,jndi,template,with,the,given,environment,settings,see,set,jndi,template;public,void,set,jndi,environment,properties,jndi,environment,this,jndi,template,new,jndi,template,jndi,environment
