# id;timestamp;commentText;codeText;commentWords;codeWords
BlobKey -> @Override 	public int hashCode();1412605211;{@inheritDoc};@Override_	public int hashCode() {_		return Arrays.hashCode(this.key)__	};inherit,doc;override,public,int,hash,code,return,arrays,hash,code,this,key
BlobKey -> @Override 	public int hashCode();1418925508;{@inheritDoc};@Override_	public int hashCode() {_		return Arrays.hashCode(this.key)__	};inherit,doc;override,public,int,hash,code,return,arrays,hash,code,this,key
BlobKey -> public BlobKey();1412605211;Constructs a new BLOB key.;public BlobKey() {_		this.key = new byte[SIZE]__	};constructs,a,new,blob,key;public,blob,key,this,key,new,byte,size
BlobKey -> public BlobKey();1418925508;Constructs a new BLOB key.;public BlobKey() {_		this.key = new byte[SIZE]__	};constructs,a,new,blob,key;public,blob,key,this,key,new,byte,size
BlobKey -> public BlobKey();1420538822;Constructs a new BLOB key.;public BlobKey() {_		this.key = new byte[SIZE]__	};constructs,a,new,blob,key;public,blob,key,this,key,new,byte,size
BlobKey -> public BlobKey();1424264340;Constructs a new BLOB key.;public BlobKey() {_		this.key = new byte[SIZE]__	};constructs,a,new,blob,key;public,blob,key,this,key,new,byte,size
BlobKey -> static BlobKey createKey(BlobType type, byte[] key, byte[] random);1508138617;Returns the right {@link BlobKey} subclass for the given parameters.__@param type_whether the referenced BLOB is permanent or transient_@param key_the actual key data_@param random_the random component of the key__@return BlobKey subclass;static BlobKey createKey(BlobType type, byte[] key, byte[] random) {_		if (type == PERMANENT_BLOB) {_			return new PermanentBlobKey(key, random)__		} else {_			return new TransientBlobKey(key, random)__		}_	};returns,the,right,link,blob,key,subclass,for,the,given,parameters,param,type,whether,the,referenced,blob,is,permanent,or,transient,param,key,the,actual,key,data,param,random,the,random,component,of,the,key,return,blob,key,subclass;static,blob,key,create,key,blob,type,type,byte,key,byte,random,if,type,return,new,permanent,blob,key,key,random,else,return,new,transient,blob,key,key,random
BlobKey -> static BlobKey createKey(BlobType type, byte[] key, byte[] random);1508861310;Returns the right {@link BlobKey} subclass for the given parameters.__@param type_whether the referenced BLOB is permanent or transient_@param key_the actual key data_@param random_the random component of the key__@return BlobKey subclass;static BlobKey createKey(BlobType type, byte[] key, byte[] random) {_		if (type == PERMANENT_BLOB) {_			return new PermanentBlobKey(key, random)__		} else {_			return new TransientBlobKey(key, random)__		}_	};returns,the,right,link,blob,key,subclass,for,the,given,parameters,param,type,whether,the,referenced,blob,is,permanent,or,transient,param,key,the,actual,key,data,param,random,the,random,component,of,the,key,return,blob,key,subclass;static,blob,key,create,key,blob,type,type,byte,key,byte,random,if,type,return,new,permanent,blob,key,key,random,else,return,new,transient,blob,key,key,random
BlobKey -> static BlobKey createKey(BlobType type, byte[] key, byte[] random);1515428991;Returns the right {@link BlobKey} subclass for the given parameters.__@param type_whether the referenced BLOB is permanent or transient_@param key_the actual key data_@param random_the random component of the key__@return BlobKey subclass;static BlobKey createKey(BlobType type, byte[] key, byte[] random) {_		if (type == PERMANENT_BLOB) {_			return new PermanentBlobKey(key, random)__		} else {_			return new TransientBlobKey(key, random)__		}_	};returns,the,right,link,blob,key,subclass,for,the,given,parameters,param,type,whether,the,referenced,blob,is,permanent,or,transient,param,key,the,actual,key,data,param,random,the,random,component,of,the,key,return,blob,key,subclass;static,blob,key,create,key,blob,type,type,byte,key,byte,random,if,type,return,new,permanent,blob,key,key,random,else,return,new,transient,blob,key,key,random
BlobKey -> static BlobKey createKey(BlobType type, byte[] key, byte[] random);1526549506;Returns the right {@link BlobKey} subclass for the given parameters.__@param type_whether the referenced BLOB is permanent or transient_@param key_the actual key data_@param random_the random component of the key__@return BlobKey subclass;static BlobKey createKey(BlobType type, byte[] key, byte[] random) {_		if (type == PERMANENT_BLOB) {_			return new PermanentBlobKey(key, random)__		} else {_			return new TransientBlobKey(key, random)__		}_	};returns,the,right,link,blob,key,subclass,for,the,given,parameters,param,type,whether,the,referenced,blob,is,permanent,or,transient,param,key,the,actual,key,data,param,random,the,random,component,of,the,key,return,blob,key,subclass;static,blob,key,create,key,blob,type,type,byte,key,byte,random,if,type,return,new,permanent,blob,key,key,random,else,return,new,transient,blob,key,key,random
BlobKey -> @VisibleForTesting 	static BlobKey createKey(BlobType type);1507212387;Returns the right {@link BlobKey} subclass for the given parameters.__@param type_whether the referenced BLOB is permanent or transient__@return BlobKey subclass;@VisibleForTesting_	static BlobKey createKey(BlobType type) {_		if (type == PERMANENT_BLOB) {_            return new PermanentBlobKey()__        } else {_			return new TransientBlobKey()__        }_	};returns,the,right,link,blob,key,subclass,for,the,given,parameters,param,type,whether,the,referenced,blob,is,permanent,or,transient,return,blob,key,subclass;visible,for,testing,static,blob,key,create,key,blob,type,type,if,type,return,new,permanent,blob,key,else,return,new,transient,blob,key
BlobKey -> @VisibleForTesting 	static BlobKey createKey(BlobType type);1508138617;Returns the right {@link BlobKey} subclass for the given parameters.__@param type_whether the referenced BLOB is permanent or transient__@return BlobKey subclass;@VisibleForTesting_	static BlobKey createKey(BlobType type) {_		if (type == PERMANENT_BLOB) {_			return new PermanentBlobKey()__		} else {_			return new TransientBlobKey()__		}_	};returns,the,right,link,blob,key,subclass,for,the,given,parameters,param,type,whether,the,referenced,blob,is,permanent,or,transient,return,blob,key,subclass;visible,for,testing,static,blob,key,create,key,blob,type,type,if,type,return,new,permanent,blob,key,else,return,new,transient,blob,key
BlobKey -> @VisibleForTesting 	static BlobKey createKey(BlobType type);1508861310;Returns the right {@link BlobKey} subclass for the given parameters.__@param type_whether the referenced BLOB is permanent or transient__@return BlobKey subclass;@VisibleForTesting_	static BlobKey createKey(BlobType type) {_		if (type == PERMANENT_BLOB) {_			return new PermanentBlobKey()__		} else {_			return new TransientBlobKey()__		}_	};returns,the,right,link,blob,key,subclass,for,the,given,parameters,param,type,whether,the,referenced,blob,is,permanent,or,transient,return,blob,key,subclass;visible,for,testing,static,blob,key,create,key,blob,type,type,if,type,return,new,permanent,blob,key,else,return,new,transient,blob,key
